NSAA Section 1 Answer Key
TZ1 Answer_key Part TZ1 Answer_key Part
Q1 E MATH Q41 F CHEM
Q2 B MATH Q42 C CHEM
Q3 D MATH Q43 B CHEM
Q4 A MATH Q44 E CHEM
Q5 C MATH Q45 D CHEM
Q6 E MATH Q46 E CHEM
Q7 A MATH Q47 F CHEM
Q8 F MATH Q48 D CHEM
Q9 D MATH Q49 C CHEM
Q10 E MATH Q50 E CHEM
Q11 F MATH Q51 B CHEM
Q12 D MATH Q52 C CHEM
Q13 F MATH Q53 A CHEM
Q14 E MATH Q54 E CHEM
Q15 B MATH Q55 A CHEM
Q16 G MATH Q56 B CHEM
Q17 A MATH Q57 C CHEM
Q18 F MATH Q58 F CHEM
Q19 H MATH Q59 E CHEM
Q20 F MATH Q60 A CHEM
Q21 B PHYS Q61 F BIOL
Q22 E PHYS Q62 B BIOL
Q23 F PHYS Q63 B BIOL
Q24 A PHYS Q64 D BIOL
Q25 G PHYS Q65 C BIOL
Q26 F PHYS Q66 H BIOL
Q27 C PHYS Q67 D BIOL
Q28 D PHYS Q68 G BIOL
Q29 E PHYS Q69 B BIOL
Q30 H PHYS Q70 A BIOL
Q31 B PHYS Q71 A BIOL
Q32 G PHYS Q72 D BIOL
Q33 C PHYS Q73 H BIOL
Q34 E PHYS Q74 C BIOL
Q35 D PHYS Q75 B BIOL
Q36 B PHYS Q76 E BIOL
Q37 C PHYS Q77 C BIOL
Q38 D PHYS Q78 A BIOL
Q39 G PHYS Q79 A BIOL
Q40 E PHYS Q80 D BIOL
