NSAA 2022 Section 1 Answer Key
Question Answer key Part Question Answer key Part
Q1 E MATH Q41 E CHEM
Q2 D MATH Q42 B CHEM
Q3 D MATH Q43 C CHEM
Q4 E MATH Q44 G CHEM
Q5 D MATH Q45 D CHEM
Q6 D MATH Q46 A CHEM
Q7 C MATH Q47 E CHEM
Q8 B MATH Q48 F CHEM
Q9 B MATH Q49 H CHEM
Q10 B MATH Q50 G CHEM
Q11 G MATH Q51 C CHEM
Q12 C MATH Q52 A CHEM
Q13 G MATH Q53 D CHEM
Q14 C MATH Q54 E CHEM
Q15 E MATH Q55 D CHEM
Q16 B MATH Q56 C CHEM
Q17 E MATH Q57 F CHEM
Q18 A MATH Q58 A CHEM
Q19 D MATH Q59 E CHEM
Q20 C MATH Q60 B CHEM
Q21 A PHYS Q61 A BIOL
Q22 C PHYS Q62 B BIOL
Q23 E PHYS Q63 F BIOL
Q24 G PHYS Q64 B BIOL
Q25 E PHYS Q65 D BIOL
Q26 B PHYS Q66 E BIOL
Q27 A PHYS Q67 G BIOL
Q28 G PHYS Q68 G BIOL
Q29 B PHYS Q69 D BIOL
Q30 D PHYS Q70 F BIOL
Q31 E PHYS Q71 G BIOL
Q32 C PHYS Q72 B BIOL
Q33 G PHYS Q73 D BIOL
Q34 C PHYS Q74 F BIOL
Q35 D PHYS Q75 C BIOL
Q36 D PHYS Q76 F BIOL
Q37 F PHYS Q77 A BIOL
Q38 E PHYS Q78 G BIOL
Q39 E PHYS Q79 D BIOL
Q40 A PHYS Q80 C BIOL
